NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Vladimir Stojković,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Marko Dmitrović,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Nikola Milenković,Fiorentina,Calcio A,CB,70,34,43,67,43,71,74
Milan Rodić,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Antonio Rukavina,Villarreal CF,LaLiga Santander,RB,77,77,42,64,69,77,76
Aleksandar Kolarov,Roma,Calcio A,LB,82,53,57,66,68,81,85
Duško Tošić,Beşiktaş JK,Süper Lig,CB,76,72,78,73,76,21,62
Branislav Ivanović,Zenit St. Petersburg,Sogaz Russian Football Championship,RB,84,81,62,79,78,86,83
Uroš Spajić,RSC Anderlecht,Belgium Pro League,CB,73,45,72,74,70,67,76
Miloš Veljković,SV Werder Bremen,Bundesliga,CB,73,66,63,73,75,54,61
Dušan Tadić,Southampton,Premier League,CAM,80,67,76,83,81,40,62
Andrija Živković,SL Benfica,Liga NOS,RM,77,90,77,60,75,29,70
Adem Ljajić,Torino,Calcio A,CM,82,71,76,81,78,83,82
Luka Milivojević,Crystal Palace,Premier League,CDM,81,83,82,83,85,42,63
Marko Grujić,Cardiff City,EFL Championship,CM,71,70,39,41,54,71,74
Filip Kostić,Hamburger SV,Bundesliga,CF,84,78,78,82,85,79,78
Sergej Milinković-Savić,Lazio,Calcio A,CM,87,83,88,86,91,52,83
Nemanja Matić,Manchester United,Premier League,CDM,86,80,83,85,89,38,70
Aleksandar Mitrović,Fulham,EFL Championship,ST,81,92,78,74,82,39,74
Nemanja Radonjić,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Luka Jović,Eintracht Frankfurt,Bundesliga,ST,70,71,69,55,67,28,64
Aleksandar Prijović,PAOK,Hellas Liga,ST,74,73,72,70,76,51,70
